[2025-07-06 00:48:37,195: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 00:48:37,198: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 00:48:37,200: INFO: common: Created Directory at : artifacts]
[2025-07-06 00:48:37,202: INFO: common: Created Directory at : artifacts/prepare_base_model]
[2025-07-06 00:48:37,534: INFO: _builder: Loading pretrained weights from Hugging Face hub (timm/inception_resnet_v2.tf_in1k)]
[2025-07-06 00:48:37,830: INFO: _hub: [timm/inception_resnet_v2.tf_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.]
[2025-07-06 00:52:25,966: INFO: _builder: Loading pretrained weights from Hugging Face hub (timm/inception_resnet_v2.tf_in1k)]
[2025-07-06 00:52:26,216: INFO: _hub: [timm/inception_resnet_v2.tf_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.]
[2025-07-06 01:00:38,093: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 01:00:38,097: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 01:00:38,099: INFO: common: Created Directory at : artifacts]
[2025-07-06 01:00:38,101: INFO: common: Created Directory at : artifacts/prepare_base_model]
[2025-07-06 01:00:38,431: INFO: _builder: Loading pretrained weights from Hugging Face hub (timm/inception_resnet_v2.tf_in1k)]
[2025-07-06 01:00:39,160: INFO: _hub: [timm/inception_resnet_v2.tf_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.]
[2025-07-06 01:04:25,508: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 01:04:25,513: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 01:04:25,515: INFO: common: Created Directory at : artifacts]
[2025-07-06 01:04:25,516: INFO: common: Created Directory at : artifacts/prepare_base_model]
[2025-07-06 01:04:26,016: INFO: _builder: Loading pretrained weights from Hugging Face hub (timm/inception_resnet_v2.tf_in1k)]
[2025-07-06 01:04:26,199: INFO: _hub: [timm/inception_resnet_v2.tf_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.]
[2025-07-06 01:24:33,759: INFO: main: Welcome to the Custom logger]
[2025-07-06 01:24:33,759: INFO: main: >>>>>>>>>> Satge Data Ingestion Stage Started <<<<<<<<<<]
[2025-07-06 01:24:33,760: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 01:24:33,762: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 01:24:33,762: INFO: common: Created Directory at : artifacts]
[2025-07-06 01:24:33,762: ERROR: main: 'ConfigurationManager' object has no attribute 'get_data_ingestion_config']
Traceback (most recent call last):
  File "D:\ITI\DS Track\Deep Learning\Projects\Kidney Classification\Kidney-Disease-Classification\main.py", line 11, in <module>
    data_ingestion_one.main()
  File "D:\ITI\DS Track\Deep Learning\Projects\Kidney Classification\Kidney-Disease-Classification\src\CNNClassifierKidneyDiseases\pipeline\first_data_ingestion.py", line 25, in main
    raise e
  File "D:\ITI\DS Track\Deep Learning\Projects\Kidney Classification\Kidney-Disease-Classification\src\CNNClassifierKidneyDiseases\pipeline\first_data_ingestion.py", line 18, in main
    data_ingestion_config = config.get_data_ingestion_config()
                            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'ConfigurationManager' object has no attribute 'get_data_ingestion_config'
[2025-07-06 01:27:50,415: INFO: main: Welcome to the Custom logger]
[2025-07-06 01:27:50,416: INFO: main: >>>>>>>>>> Satge Data Ingestion Stage Started <<<<<<<<<<]
[2025-07-06 01:27:50,417: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 01:27:50,419: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 01:27:50,420: INFO: common: Created Directory at : artifacts]
[2025-07-06 01:27:50,420: ERROR: main: 'ConfigurationManager' object has no attribute 'get_data_ingestion_config']
Traceback (most recent call last):
  File "D:\ITI\DS Track\Deep Learning\Projects\Kidney Classification\Kidney-Disease-Classification\main.py", line 11, in <module>
    data_ingestion_one.main()
  File "D:\ITI\DS Track\Deep Learning\Projects\Kidney Classification\Kidney-Disease-Classification\src\CNNClassifierKidneyDiseases\pipeline\first_data_ingestion.py", line 25, in main
    raise e
  File "D:\ITI\DS Track\Deep Learning\Projects\Kidney Classification\Kidney-Disease-Classification\src\CNNClassifierKidneyDiseases\pipeline\first_data_ingestion.py", line 18, in main
    data_ingestion_config = config.get_data_ingestion_config()
                            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'ConfigurationManager' object has no attribute 'get_data_ingestion_config'
[2025-07-06 01:32:52,509: INFO: main: Welcome to the Custom logger]
[2025-07-06 01:32:52,510: INFO: main: >>>>>>>>>> Satge Data Ingestion Stage Started <<<<<<<<<<]
[2025-07-06 01:32:52,511: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 01:32:52,512: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 01:32:52,513: INFO: common: Created Directory at : artifacts]
[2025-07-06 01:32:52,513: INFO: common: Created Directory at : artifacts/data_ingestion]
[2025-07-06 01:32:52,514: INFO: data_ingestion: Downloading Data from https://drive.google.com/file/d/1JVnAlKEgAsle2tRMmJ0IfGnm7a-cy7YE/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-06 01:33:33,027: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1JVnAlKEgAsle2tRMmJ0IfGnm7a-cy7YE/view?usp=sharing into file artifacts/data_ingestion/data.zip]
